category,name,product_id,product_url,image_url,other_images,full_price,discount_price,stock,color,tag(s),filename
c-men,'KENZO Drawn Varsity' sweatshirt,FE55SW1684MF.99J,https://www.kenzo.com/en-us/kenzo-drawn-varsity-sweatshirt/FE55SW1684MF.99J.html,https://media.kenzo.com/b2cprd/FE55SW1684MF.99J_P_01.jpg?twic=v1/cover=4:5/resize=706,https://media.kenzo.com/b2cprd/FE55SW1684MF.99J_H_01.jpg?twic=v1/cover=4:5/resize=706,$435,$305,,,,c-men.html
c-men,'KENZO Elephant' T-shirt,FE55TS1884SG.99J,https://www.kenzo.com/en-us/kenzo-elephant-t-shirt/FE55TS1884SG.99J.html,https://media.kenzo.com/b2cprd/FE55TS1884SG.99J_P_01.jpg?twic=v1/cover=4:5/resize=706,https://media.kenzo.com/b2cprd/FE55TS1884SG.99J_H_01.jpg?twic=v1/cover=4:5/resize=706,$230,$161,,"off white, black",,c-men.html
c-men,'KENZO Drawn Varsity' T-shirt,FE55TS0054WC.93,https://www.kenzo.com/en-us/kenzo-drawn-varsity-t-shirt/FE55TS0054WC.93.html,https://media.kenzo.com/b2cprd/FE55TS0054WC.93_P_01.jpg?twic=v1/cover=4:5/resize=706,https://media.kenzo.com/b2cprd/FE55TS0054WC.93_H_01.jpg?twic=v1/cover=4:5/resize=706,$395,,,,,c-men.html
c-men,Oversized 'Boke Flower' embroidered shirt,FD65CH5079LA.51,https://www.kenzo.com/en-us/oversized-boke-flower-embroidered-shirt/FD65CH5079LA.51.html,https://media.kenzo.com/b2cprd/FD65CH5079LA.51_P_01.jpg?twic=v1/cover=4:5/resize=706,https://media.kenzo.com/b2cprd/FD65CH5079LA.51_H_03.jpg?twic=v1/cover=4:5/resize=706,$435,,,"off white, dark khaki, black",,c-men.html
c-men,'KENZO Elephant' T-shirt,FE55TS1894SG.47,https://www.kenzo.com/en-us/kenzo-elephant-t-shirt/FE55TS1894SG.47.html,https://media.kenzo.com/b2cprd/FE55TS1894SG.47_P_01.jpg?twic=v1/cover=4:5/resize=706,https://media.kenzo.com/b2cprd/FE55TS1894SG.47_H_01.jpg?twic=v1/cover=4:5/resize=706,$205,$144,,"off white, almond green, black",,c-men.html
c-men,'Boke Flower' embroidered woollen jumper,FD65PU4203LC.99J,https://www.kenzo.com/en-us/boke-flower-embroidered-woollen-jumper/FD65PU4203LC.99J.html,https://media.kenzo.com/b2cprd/FD65PU4203LC.99J_P_01.jpg?twic=v1/cover=4:5/resize=706,https://media.kenzo.com/b2cprd/FD65PU4203LC.99J_H_03.jpg?twic=v1/cover=4:5/resize=706,$340,,,"black, pearl grey",,c-men.html
c-men,'KEN ZO' classic embroidered cardigan,FD65SW1294ME.99J,https://www.kenzo.com/en-us/ken-zo-classic-embroidered-cardigan/FD65SW1294ME.99J.html,https://media.kenzo.com/b2cprd/FD65SW1294ME.99J_P_01.jpg?twic=v1/cover=4:5/resize=706,https://media.kenzo.com/b2cprd/FD65SW1294ME.99J_H_01.jpg?twic=v1/cover=4:5/resize=706,$570,$399,,,,c-men.html
c-men,'KENZO Creations' trucker jacket.,FE55DV1106I7.DY,https://www.kenzo.com/en-us/kenzo-creations-trucker-jacket./FE55DV1106I7.DY.html,https://media.kenzo.com/b2cprd/FE55DV1106I7.DY_P_01.jpg?twic=v1/cover=4:5/resize=706,https://media.kenzo.com/b2cprd/FE55DV1106I7.DY_H_01.jpg?twic=v1/cover=4:5/resize=706,$935,$561,,,,c-men.html
c-men,Tailored cargo shorts,FE55SH2369GE.99,https://www.kenzo.com/en-us/tailored-cargo-shorts/FE55SH2369GE.99.html,https://media.kenzo.com/b2cprd/FE55SH2369GE.99_P_01.jpg?twic=v1/cover=4:5/resize=706,https://media.kenzo.com/b2cprd/FE55SH2369GE.99_H_02.jpg?twic=v1/cover=4:5/resize=706,$665,,,,Show,c-men.html
c-men,'Boke Flower' embroidered classic sweatshirt,FD55SW4404MF.99J,https://www.kenzo.com/en-us/boke-flower-embroidered-classic-sweatshirt/FD55SW4404MF.99J.html,https://media.kenzo.com/b2cprd/FD55SW4404MF.99J_P_01.jpg?twic=v1/cover=4:5/resize=706,https://media.kenzo.com/b2cprd/FD55SW4404MF.99J_H_01.jpg?twic=v1/cover=4:5/resize=706,$340,,,"pale grey, black, light blue",,c-men.html
c-men,'Boke Flower Crest' hooded zip-up sweatshirt,FC65SW4144MF.93,https://www.kenzo.com/en-us/boke-flower-crest-hooded-zip-up-sweatshirt/FC65SW4144MF.93.html,https://media.kenzo.com/b2cprd/FC65SW4144MF.93_P_01.jpg?twic=v1/cover=4:5/resize=706,https://media.kenzo.com/b2cprd/FC65SW4144MF.93_P_02.jpg?twic=v1/cover=4:5/resize=706,$435,,Out of Stock,,,c-men.html
c-men,'Boke Flower' classic T-shirt,FD55TS4454SO.99J,https://www.kenzo.com/en-us/boke-flower-classic-t-shirt/FD55TS4454SO.99J.html,https://media.kenzo.com/b2cprd/FD55TS4454SO.99J_P_01.jpg?twic=v1/cover=4:5/resize=706,https://media.kenzo.com/b2cprd/FD55TS4454SO.99J_H_02.jpg?twic=v1/cover=4:5/resize=706,$205,,,"black, white, midnight blue, +2 more",,c-men.html
c-men,'KENZO Creations' relaxed straight short,FE55DS3376W4.WT,https://www.kenzo.com/en-us/kenzo-creations-relaxed-straight-short/FE55DS3376W4.WT.html,https://media.kenzo.com/b2cprd/FE55DS3376W4.WT_P_01.jpg?twic=v1/cover=4:5/resize=706,https://media.kenzo.com/b2cprd/FE55DS3376W4.WT_H_02.jpg?twic=v1/cover=4:5/resize=706,$435,,,,,c-men.html
