category,name,product_id,product_url,image_url,full_price,discount_price,filename
mens-shoes,"Finnion Monkstrap
    BLACK",FINNIONMONKSTRAPBOL010003,/en/men/shoes/finnion-monkstrap/black-brush-off-leather-monk-strap-shoes-FINNIONMONKSTRAPBOL010003.html?cgid=men-shoes,None,$995,None,mens-shoes.html
mens-shoes,"Finnion Monkstrap
    BLACK",FINNIONMONKSTRAPPAT010003,/en/men/shoes/finnion-monkstrap/black-patent-leather-monk-strap-shoes-with-studs-FINNIONMONKSTRAPPAT010003.html?cgid=men-shoes,None,"$1,050",None,mens-shoes.html
mens-shoes,"Elias Zip Boot
    BLACK",ELIASZIPBOOTAQO010003,/en/men/shoes/elias-zip-boot/black-calf-leather-zip-boots-ELIASZIPBOOTAQO010003.html?cgid=men-shoes,None,"$1,295",None,mens-shoes.html
mens-shoes,"Sammy/M
    BLACK",SAMMYMCLF010003,/en/men/shoes/sammy-m/black-calf-leather-ankle-boots-SAMMYMCLF010003.html?cgid=men-shoes,None,"$1,195",None,mens-shoes.html
mens-shoes,"Foxley Oxford Shoe
    BLACK",FOXLEYOXFORDSHOEXXF010003,/en/men/shoes/foxley-oxford-shoe/black-calf-leather-shoes-FOXLEYOXFORDSHOEXXF010003.html?cgid=men-shoes,None,$850,None,mens-shoes.html
mens-shoes,"Foxley/M
    BLACK",FOXLEYMSIC010003,/en/men/shoes/foxley-m/black-soft-shiny-calf-leather-loafers-FOXLEYMSIC010003.html?cgid=men-shoes,None,$825,None,mens-shoes.html
mens-shoes,"Foxley/M
    BLACK/BLACK DIAMOND",FOXLEYMPGQ0C6123,/en/men/shoes/foxley-m/black-suede-slippers-with-crystals-FOXLEYMPGQ0C6123.html?cgid=men-shoes,None,"$2,295",None,mens-shoes.html
mens-shoes,"Marti Reverse
    DARK TAN",MARTIREVERSEOVD025933,/en/men/shoes/marti-reverse/dark-tan-buffalo-leather-loafers-with-chain-embellishment-MARTIREVERSEOVD025933.html?cgid=men-shoes,None,$850,None,mens-shoes.html
mens-shoes,"Marti Reverse
    NAVY",MARTIREVERSEOVA040014,/en/men/shoes/marti-reverse/navy-velvet-suede-loafers-with-chain-embellishment-MARTIREVERSEOVA040014.html?cgid=men-shoes,None,$850,None,mens-shoes.html
mens-shoes,"Marti Reverse
    BLACK",MARTIREVERSEOVD010003,/en/men/shoes/marti-reverse/black-buffalo-leather-loafers-with-chain-embellishment-MARTIREVERSEOVD010003.html?cgid=men-shoes,None,$850,None,mens-shoes.html
mens-shoes,"Fitz/M
    V TAUPE/TAUPE",FITZMPFP1C0093,/en/men/shoes/fitz-m/taupe-puffed-logo-lycra-slides-FITZMPFP1C0093.html?cgid=men-shoes,None,$375,None,mens-shoes.html
mens-shoes,"Fitz/M
    V WHITE/WHITE",FITZMPFP081117,/en/men/shoes/fitz-m/white-puffed-logo-lycra-slides-FITZMPFP081117.html?cgid=men-shoes,None,$375,None,mens-shoes.html
mens-shoes,"Rome/M
    V WHITE/GUNMETAL",ROMEMAZA0C9235,/en/men/shoes/rome-m/white-calf-leather-and-gunmetal-metallic-nappa-low-top-trainers-ROMEMAZA0C9235.html?cgid=men-shoes,None,$650,None,mens-shoes.html
mens-shoes,"Rome/M
    V BLACK/SILVER",ROMEMAZA0C9214,/en/men/shoes/rome-m/black-calf-leather-and-silver-metallic-nappa-low-top-trainers-ROMEMAZA0C9214.html?cgid=men-shoes,None,$650,None,mens-shoes.html
mens-shoes,"Diamond Light/M II
    V WHITE/SILVER",DIAMONDLIGHTMIIBFB0C8776,/en/men/shoes/diamond-light-m-ii/white-leather-and--silver-metallic-nappa-low-top-trainers-DIAMONDLIGHTMIIBFB0C8776.html?cgid=men-shoes,None,$695,None,mens-shoes.html
mens-shoes,"Diamond Light/M
    V WHITE/WHITE",DIAMONDLIGHTMRXN081117,/en/men/shoes/diamond-light-m/white-nappa-leather-low-top-trainers-with-flecked-sole-DIAMONDLIGHTMRXN081117.html?cgid=men-shoes,None,$650,None,mens-shoes.html
mens-shoes,"Diamond Light/M
    V BLACK/GUNMETAL",DIAMONDLIGHTMAWW013889,/en/men/shoes/diamond-light-m/black-nappa-low-top-trainers-with-studs-DIAMONDLIGHTMAWW013889.html?cgid=men-shoes,None,$875,None,mens-shoes.html
mens-shoes,"Diamond Light/M
    V BLACK/BLACK",DIAMONDLIGHTMNAP013728,/en/men/shoes/diamond-light-m/black-nappa-leather-low-top-trainers--DIAMONDLIGHTMNAP013728.html?cgid=men-shoes,None,$650,None,mens-shoes.html
mens-shoes,"Thame
    BLACK MIX",THAMEAQN010045,/en/men/shoes/thame/black-velvet-slipper-with-crystal-embellishment-THAMEAQN010045.html?cgid=men-shoes,None,"$4,595",None,mens-shoes.html
mens-shoes,"Thame
    BLACK",THAMECGF010003,/en/men/shoes/thame/black-coarse-glitter-fabric-slipper-THAMECGF010003.html?cgid=men-shoes,None,$595,None,mens-shoes.html
mens-shoes,"Thame
    BLACK",THAMESIC010003,/en/men/shoes/thame/black-shiny-calf-leather-slipper--THAMESIC010003.html?cgid=men-shoes,None,$725,None,mens-shoes.html
mens-shoes,"Josh Driver
    DENIM",JOSHDRIVERUUE040037,/en/men/shoes/josh-driver/denim-suede-shoes-JOSHDRIVERUUE040037.html?cgid=men-shoes,None,$725,None,mens-shoes.html
mens-shoes,"Josh Driver
    ASH",JOSHDRIVERUUE102155,/en/men/shoes/josh-driver/ash-suede-shoes-JOSHDRIVERUUE102155.html?cgid=men-shoes,None,$725,None,mens-shoes.html
mens-shoes,"Foxley/M
    BLACK",FOXLEYMVEL010003,/en/men/shoes/foxley-m/black-velvet-slip-on-shoes-with-tassel-FOXLEYMVEL010003.html?cgid=men-shoes,None,$850,None,mens-shoes.html
mens-shoes,Finnion Monkstrap OAK,FINNIONMONKSTRAPSVV027408,/en/men/shoes/finnion-monkstrap/oak-velvet-suede-shoes-FINNIONMONKSTRAPSVV027408.html?cgid=men-shoes,None,$995,None,mens-shoes.html
mens-shoes,Ivan Espadrille NAVY MIX,IVANESPADRILLEJBI040106,/en/men/shoes/ivan-espadrille/navy-canvas-espadrilles-IVANESPADRILLEJBI040106.html?cgid=men-shoes,None,$595,None,mens-shoes.html
mens-shoes,Ivan Espadrille LATTE MIX,IVANESPADRILLEJBI080348,/en/men/shoes/ivan-espadrille/latte-canvas-espadrilles-IVANESPADRILLEJBI080348.html?cgid=men-shoes,None,$595,None,mens-shoes.html
mens-shoes,Fitz/M V BLACK/BLACK,FITZMPFP013728,/en/men/shoes/fitz-m/black-puffed-logo-lycra-slides-FITZMPFP013728.html?cgid=men-shoes,None,$375,None,mens-shoes.html
mens-shoes,Etta City Sandal MOCHA,ETTACITYSANDALVAC021974,/en/men/shoes/etta-city-sandal/mocha-vachetta-leather-sandals-ETTACITYSANDALVAC021974.html?cgid=men-shoes,None,$725,None,mens-shoes.html
mens-shoes,Diamond Light/m V BLACK,DIAMONDLIGHTMMYU013727,/en/men/shoes/diamond-light-m/black-knit-low-top-trainers-DIAMONDLIGHTMMYU013727.html?cgid=men-shoes,None,$650,None,mens-shoes.html
mens-shoes,Marlow Moccasin BLACK,MARLOWMOCCASINXXC010003,/en/men/shoes/marlow-moccasin/black-box-calf-moccasins-MARLOWMOCCASINXXC010003.html?cgid=men-shoes,None,$825,None,mens-shoes.html
women,"Thame

BLACK",THAMESIC010003,/en/men/shoes/thame/black-shiny-calf-leather-slipper--THAMESIC010003.html,"https://media.jimmychoo.com/image/upload/c_fit,dpr_2.0,f_auto,h_300,q_auto:best,w_300/USPROD_PRODUCT/images/original/THAMESIC_010003_SIDE.jpg","$725



Regular Price",None,women.html
women,"Palma/M

X BLACK/LATTE",PALMAMCYE013921,/en/men/shoes/palma-m/black-and-latte-canvas-low-top-trainers-with-embroidered-logo-PALMAMCYE013921.html,"https://media.jimmychoo.com/image/upload/c_fit,dpr_2.0,f_auto,h_300,q_auto:best,w_300/USPROD_PRODUCT/images/original/PALMAMCYE_013921_SIDE_vg248.jpg","$595



Regular Price",None,women.html
women,"Ivan Espadrille

LATTE MIX",IVANESPADRILLEJBI080348,/en/men/shoes/ivan-espadrille/latte-canvas-espadrilles-IVANESPADRILLEJBI080348.html,"https://media.jimmychoo.com/image/upload/c_fit,dpr_2.0,f_auto,h_300,q_auto:best,w_300/USPROD_PRODUCT/images/original/IVANESPADRILLEJBI_080348_SIDE_vg388.jpg","$595



Regular Price",None,women.html
women,"Saeda 100

IVORY/CRYSTAL",SAEDA100BBD000784,/en/women/shoes/saeda-100/ivory-satin-pumps-with-crystal-embellishment--SAEDA100BBD000784.html,"https://media.jimmychoo.com/image/upload/c_fit,dpr_2.0,f_auto,h_300,q_auto:best,w_300/USPROD_PRODUCT/images/original/SAEDA100BBD_000784_SIDE_vg290.jpg","$1,125



Regular Price",None,women.html
women,"Nell Ankle Boot 85

BLACK",NELLAB85CLF010003,/en/women/shoes/nell-ankle-boot-85/black-calf-leather-ankle-boots-NELLAB85CLF010003.html,"https://media.jimmychoo.com/image/upload/c_fit,dpr_2.0,f_auto,h_300,q_auto:best,w_300/USPROD_PRODUCT/images/original/NELLAB85CLF_010003_SIDE_vg103.jpg","$1,325



Regular Price",None,women.html
women,"Josh Driver

STONE",JOSHDRIVERUUE100024,/en/men/shoes/josh-driver/stone-reverse-suede-driver-shoes-JOSHDRIVERUUE100024.html,"https://media.jimmychoo.com/image/upload/c_fit,dpr_2.0,f_auto,h_300,q_auto:best,w_300/USPROD_PRODUCT/images/original/JOSHDRIVERUUE_100024_SIDE_vg113.jpg","$725



Regular Price",None,women.html
women,"Etta Mule

STONE",ETTAMULESVV100024,/en/men/shoes/etta-mule/stone-velvet-suede-mules-ETTAMULESVV100024.html,"https://media.jimmychoo.com/image/upload/c_fit,dpr_2.0,f_auto,h_300,q_auto:best,w_300/USPROD_PRODUCT/images/original/ETTAMULESVV_100024_SIDE_vg248.jpg","$725



Regular Price",None,women.html
women,"Marti Reverse

BLACK",MARTIREVERSEOVD010003,/en/men/shoes/marti-reverse/black-buffalo-leather-loafers-with-chain-embellishment-MARTIREVERSEOVD010003.html,"https://media.jimmychoo.com/image/upload/c_fit,dpr_2.0,f_auto,h_300,q_auto:best,w_300/USPROD_PRODUCT/images/original/MARTIREVERSEOVD_010003_SIDE.jpg","$850



Regular Price",None,women.html
